ip,latitude,longitude,asn,proxy,queries_amount,mean_time_gap,avg_time_gap,session_amount,get,post,blocked,cookie,lang,ru_lang,ua_changed,ua_anal
104.28.230.246,55.7483,37.6171,2,0,3,0,0,1,3,0,0,1,1,1,0,1
109.200.154.162,44.9607,34.1051,2,0,3,0,0,1,3,0,0,1,1,1,0,1
109.94.210.16,55.7483,37.6171,2,0,3,0,0,1,3,0,0,1,1,1,0,1
114.119.151.155,1.3673,103.8014,2,0,2,0,0,1,2,0,0,1,1,0,0,0
128.140.163.142,50.6165,36.5758,2,0,4,0,0,1,4,0,0,1,1,1,0,1
176.108.190.14,44.5014,34.1614,2,0,3,0,0,1,3,0,0,1,1,1,0,1
178.128.88.11,1.2929,103.8547,2,0,4,0,0,3,4,0,4,1,1,0,1,1
178.214.247.6,54.7431,55.9678,2,0,3,0,0,1,3,0,0,1,1,1,0,1
178.67.196.228,55.7483,37.6171,2,0,6,119,118,1,6,0,0,1,1,1,0,1
185.104.94.114,55.7386,37.6068,2,0,2,0,0,1,2,0,0,1,1,1,0,1
185.135.181.37,44.9607,34.1051,2,0,2,0,0,1,2,0,0,1,1,1,0,1
194.147.50.10,44.9607,34.1051,2,0,8,10,8,2,8,0,0,1,1,1,0,1
194.147.50.113,44.9607,34.1051,2,0,3,0,0,1,3,0,0,1,1,1,0,1
195.211.23.223,55.7386,37.6068,2,0,2,0,0,1,2,0,0,1,1,1,0,0
2.56.24.100,55.7483,37.6171,2,0,2,0,0,1,2,0,0,1,1,1,0,1
2.56.24.118,55.7483,37.6171,2,0,3,0,0,1,3,0,0,1,1,1,0,1
212.192.168.214,55.785,49.1178,2,0,4,0,0,1,4,0,0,1,1,1,0,1
213.87.155.129,55.7483,37.6171,2,0,4,0,0,1,4,0,0,1,1,1,0,1
31.135.104.105,44.9607,34.1051,2,0,3,0,0,1,3,0,0,1,1,1,0,1
46.151.151.93,44.9607,34.1051,2,0,2,0,0,2,2,0,0,1,1,1,0,1
46.173.88.87,44.6734,34.4176,2,0,2,0,0,1,2,0,0,1,1,1,0,1
46.35.247.148,44.6089,33.53,2,0,2,0,0,1,2,0,0,1,1,1,0,1
5.18.176.7,59.9417,30.3096,2,0,3,0,0,1,3,0,0,1,1,1,0,1
66.249.65.15,30.0955,-81.7198,2,0,3,0,0,2,3,0,0,1,1,0,2,0
66.249.92.141,37.751,-97.822,2,0,2,0,0,1,2,0,0,1,1,0,1,0
66.249.92.17,37.751,-97.822,2,0,2,0,0,2,2,0,0,1,1,0,0,0
77.246.248.37,44.9607,34.1051,2,0,3,0,0,1,3,0,0,1,1,1,0,1
77.88.5.129,55.7386,37.6068,2,0,4,0,0,1,4,0,0,1,1,0,1,0
77.88.5.165,55.7386,37.6068,2,0,4,0,0,1,4,0,0,1,1,0,2,0
77.88.5.221,55.7386,37.6068,2,0,2,0,0,2,2,0,0,1,1,0,1,0
77.88.5.243,55.7386,37.6068,2,0,2,0,0,2,2,0,0,1,1,0,0,0
77.88.5.246,55.7386,37.6068,2,0,4,0,0,4,4,0,0,1,1,1,2,0
77.88.5.28,55.7386,37.6068,2,0,2,0,0,1,2,0,0,1,1,0,0,0
79.105.116.88,50.2705,127.5352,2,0,5,0,0,2,5,0,0,1,1,1,0,1
80.245.115.26,55.7386,37.6068,2,0,12,21,20,1,12,0,0,1,1,1,0,1
81.92.202.38,51.5064,-0.02,2,0,20,67,74,1,20,0,0,1,1,1,1,1
82.162.52.101,42.8296,132.8929,2,0,10,40,42,1,10,0,0,1,1,1,0,1
83.220.237.186,55.7483,37.6171,2,0,3,0,0,1,3,0,0,1,1,1,0,1
84.252.71.48,55.7483,37.6171,2,0,2,0,0,1,2,0,0,1,1,1,0,1
85.193.66.18,44.6089,33.53,2,0,3,0,0,1,3,0,0,1,1,1,0,1
85.193.67.121,44.6089,33.53,2,0,5,296,394,1,5,0,0,1,1,1,0,1
85.209.135.83,39.0019,-77.4556,2,0,2,0,0,1,2,0,0,1,1,0,0,1
89.107.138.77,44.9607,34.1051,2,0,2,0,0,1,2,0,0,1,1,1,0,1
89.187.169.13,50.1188,8.6843,2,0,3,0,0,1,3,0,0,1,1,1,0,1
89.64.115.59,54.353,18.659,2,0,4,0,0,1,4,0,0,1,1,1,0,1
90.154.72.93,55.7483,37.6171,2,0,3,0,0,1,3,0,0,1,1,1,0,1
91.228.96.8,56.1342,40.3888,2,0,2,0,0,1,2,0,0,1,1,1,0,1
93.158.161.45,55.7483,37.6171,2,0,2,0,0,2,2,0,0,1,1,0,1,0
93.77.165.21,44.9607,34.1051,2,0,2,0,0,1,2,0,0,1,1,1,0,1
95.153.161.76,45.0355,38.975,2,0,2,0,0,1,2,0,0,1,1,1,0,1
95.153.176.91,45.0355,38.975,2,0,3,0,0,1,3,0,0,1,1,1,0,1
